in,13.9312 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
like and,0.217675 Text_1.txt 
like apples,0.217675 Text_1.txt 
like heroin said,0.217675 Text_1.txt Text_2.txt Text_3.txt 
like potatoes corn,0.217675 Text_1.txt 
like to,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
likely possibility,0.217675 Text_1.txt 
likely to have,0.653026 Text_1.txt 
limits when,0.217675 Text_1.txt Text_2.txt Text_3.txt 
link,0.43535 Text_1.txt 
link between tomatoes,0.217675 Text_1.txt 
list,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
literature,0.217675 Text_1.txt Text_2.txt 
lives,0.217675 Text_1.txt Text_2.txt Text_3.txt 
ll explain how,0.217675 Text_1.txt Text_2.txt 
locate but its,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
locations in,0.217675 Text_1.txt Text_2.txt Text_3.txt 
logging twelve hours,0.217675 Text_1.txt Text_3.txt 
long term,0.217675 Text_1.txt 
longest study to,0.217675 Text_1.txt 
look It,0.217675 Text_1.txt Text_4.txt Text_5.txt 
look like I,0.217675 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
looked at coronary,0.217675 Text_1.txt 
looking It would,0.217675 Text_1.txt Text_2.txt Text_4.txt 
looking into,0.217675 Text_1.txt Text_2.txt 
looking like,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
looking species for,0.217675 Text_1.txt Text_2.txt 
looks specifically at,0.217675 Text_1.txt 
lose,0.217675 Text_1.txt Text_2.txt Text_3.txt 
losing,0.217675 Text_1.txt Text_2.txt Text_3.txt 
loss,0.653026 Text_1.txt 
loss while,0.217675 Text_1.txt 
lost count of,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
lot to,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
loved quadrupeds,0.217675 Text_1.txt Text_2.txt 
low glycemic,0.217675 Text_1.txt 
lower blood pressure,0.43535 Text_1.txt 
lower the,0.43535 Text_1.txt 
lowered blood,0.217675 Text_1.txt 
lowest intakes,0.217675 Text_1.txt 
luck To,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
lunar surface and,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
lung cancer Specific,0.217675 Text_1.txt 
lycopene and prostate,0.217675 Text_1.txt 
lying,0.217675 Text_1.txt Text_3.txt Text_4.txt 
made by Take,0.217675 Text_1.txt Text_2.txt Text_3.txt 
made some progress,0.217675 Text_1.txt Text_2.txt Text_3.txt 
make,1.30605 Text_1.txt Text_2.txt Text_3.txt Text_5.txt 
make the,0.43535 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
many,0.870701 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
many people still,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
marks requires,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
marriages Professional athletes,0.217675 Text_1.txt Text_2.txt Text_3.txt 
mass shootings that,0.217675 Text_1.txt Text_2.txt Text_3.txt 
matched to,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
matches that,0.217675 Text_1.txt Text_2.txt Text_3.txt 
mate Finding,0.217675 Text_1.txt Text_2.txt Text_4.txt 
material goods Throughout,0.217675 Text_1.txt Text_2.txt 
may also,0.217675 Text_1.txt 
may appear thanks,0.217675 Text_1.txt Text_2.txt 
may be associated,0.217675 Text_1.txt 
may help,0.43535 Text_1.txt 
may protect,0.43535 Text_1.txt 
meal Try cooking,0.217675 Text_1.txt 
meals Vegetables,0.217675 Text_1.txt 
medications,0.217675 Text_1.txt 
meetings,0.217675 Text_1.txt Text_2.txt Text_3.txt 
men against,0.217675 Text_1.txt 
men showed,0.217675 Text_1.txt 
menace,0.217675 Text_1.txt Text_2.txt Text_3.txt 
mentioned in,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
meta analysis of,0.653026 Text_1.txt 
might have always,0.217675 Text_1.txt Text_2.txt 
million people,0.217675 Text_1.txt Text_2.txt Text_3.txt 
mind that,0.217675 Text_1.txt 
minor changes,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
minutes of,0.217675 Text_1.txt Text_2.txt 
mm Hg,0.43535 Text_1.txt 
mode in,0.217675 Text_1.txt Text_2.txt Text_3.txt 
moderate to vigorous,0.217675 Text_1.txt Text_2.txt 
money by,0.217675 Text_1.txt Text_2.txt Text_3.txt 
months with very,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
moon in,0.217675 Text_1.txt Text_3.txt Text_5.txt 
moonsuit has,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
moonwalks,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
more According,0.217675 Text_1.txt Text_2.txt 
more likely,0.653026 Text_1.txt Text_2.txt 
more of,0.217675 Text_1.txt Text_2.txt Text_3.txt 
more produce into,0.217675 Text_1.txt 
more research,0.217675 Text_1.txt 
more servings,0.217675 Text_1.txt 
more than,0.653026 Text_1.txt Text_3.txt 
more when some,0.217675 Text_1.txt 
most fruit during,0.217675 Text_1.txt 
mouth and,0.217675 Text_1.txt 
mouths,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
movements,0.217675 Text_1.txt 
much loved,0.217675 Text_1.txt Text_2.txt 
mutual support,0.217675 Text_1.txt Text_2.txt 
my luck To,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
my usual,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
nanny,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
nannygai footage together,0.217675 Text_1.txt Text_4.txt 
near,0.217675 Text_1.txt Text_2.txt Text_3.txt 
need to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
negative tumours,0.217675 Text_1.txt 
new Variety,0.217675 Text_1.txt 
new recipes,0.217675 Text_1.txt 
next,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
nine thousand,0.217675 Text_1.txt 
ninety thousand four,0.217675 Text_1.txt 
no chain,0.217675 Text_1.txt Text_2.txt Text_4.txt 
non,0.653026 Text_1.txt Text_2.txt 
not,1.95908 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
not consistently,0.217675 Text_1.txt 
not decrease the,0.217675 Text_1.txt 
not have,0.43535 Text_1.txt Text_2.txt Text_4.txt 
not only ensures,0.217675 Text_1.txt 
not paying,0.217675 Text_1.txt Text_2.txt Text_3.txt 
now,0.870701 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
now speaks,0.217675 Text_1.txt Text_2.txt Text_3.txt 
number one,0.217675 Text_1.txt Text_4.txt 
nurses,0.217675 Text_1.txt 
nutrients and,0.217675 Text_1.txt 
observational studies found,0.217675 Text_1.txt 
of Atari,0.217675 Text_1.txt Text_2.txt Text_3.txt 
of Fortnite,0.217675 Text_1.txt Text_2.txt Text_3.txt 
of Missouri,0.217675 Text_1.txt Text_2.txt 
of a,1.08838 Text_1.txt Text_2.txt Text_3.txt 
of a week,0.217675 Text_1.txt Text_2.txt 
of addiction,0.217675 Text_1.txt Text_3.txt 
of apples,0.217675 Text_1.txt 
of broader,0.217675 Text_1.txt Text_2.txt Text_3.txt 
of cancers,0.217675 Text_1.txt 
of cardiovascular,0.43535 Text_1.txt 
of choice On,0.217675 Text_1.txt Text_3.txt 
of cohort,0.43535 Text_1.txt 
of coronary heart,0.217675 Text_1.txt 
of deaths from,0.217675 Text_1.txt 
of developing cardiovascular,0.217675 Text_1.txt 
of diabetes,0.217675 Text_1.txt 
of different plant,0.217675 Text_1.txt 
of dollars of,0.217675 Text_1.txt Text_2.txt Text_3.txt 
of estrogen receptor,0.217675 Text_1.txt 
of factors,0.217675 Text_1.txt Text_2.txt 
of flex,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
of four,0.217675 Text_1.txt 
of friendship,0.217675 Text_1.txt Text_2.txt 
of fruit juice,0.217675 Text_1.txt 
of gangs,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
of ground,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
of heart disease,0.653026 Text_1.txt Text_2.txt 
of initially,0.217675 Text_1.txt 
of insoluble,0.217675 Text_1.txt 
of it,0.43535 Text_1.txt Text_5.txt 
of late here,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
of major chronic,0.217675 Text_1.txt 
of marks,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
of meeting,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
of moderate to,0.217675 Text_1.txt Text_2.txt 
of money by,0.217675 Text_1.txt Text_2.txt Text_3.txt 
of nannies Unfortunately,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
of nannygai,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
of ninety thousand,0.217675 Text_1.txt 
of nutrients it,0.217675 Text_1.txt 
of other activities,0.217675 Text_1.txt Text_3.txt 
of other parents,0.217675 Text_1.txt Text_3.txt 
of over seventy,0.217675 Text_1.txt 
of past,0.217675 Text_1.txt Text_3.txt Text_4.txt 
of premature,0.217675 Text_1.txt Text_2.txt 
of produce in,0.217675 Text_1.txt 
of prostate cancer,0.217675 Text_1.txt 
of returning astronauts,0.217675 Text_5.txt 
of science,0.217675 Text_1.txt Text_5.txt 
of several carotenoids,0.217675 Text_1.txt 
of tasty vegetables,0.217675 Text_1.txt 
of the Harvard,0.217675 Text_1.txt 
of the earth,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
of the game,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
of the one,0.217675 Text_1.txt Text_2.txt Text_3.txt 
of the wolves,0.217675 Text_1.txt Text_2.txt 
of tomato based,0.217675 Text_1.txt 
of type diabetes,0.217675 Text_1.txt 
of what,0.43535 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
of whom owned,0.43535 Text_1.txt Text_2.txt 
off the,0.653026 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
offshore scene,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
old Fitzroy,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
old habits,0.217675 Text_3.txt 
on Amazon,0.217675 Text_1.txt Text_2.txt Text_3.txt 
on a study,0.217675 Text_1.txt Text_2.txt 
on credit cards,0.217675 Text_1.txt Text_2.txt Text_3.txt 
on players,0.217675 Text_1.txt Text_2.txt Text_3.txt 
on the addiction,0.217675 Text_1.txt Text_2.txt Text_3.txt 
on the road,0.217675 Text_1.txt Text_2.txt Text_3.txt 
on them,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
once theyre,0.217675 Text_1.txt Text_2.txt Text_3.txt 
one from,0.217675 Text_1.txt Text_2.txt 
one of,0.217675 Text_1.txt 
one point two,0.217675 Text_1.txt Text_3.txt 
ones,0.217675 Text_1.txt Text_3.txt Text_5.txt 
online,0.217675 Text_1.txt Text_2.txt Text_3.txt 
only a weak,0.217675 Text_1.txt 
only growing Its,0.217675 Text_1.txt Text_2.txt Text_3.txt 
onto,0.217675 Text_5.txt 
opportunities to sell,0.217675 Text_1.txt Text_2.txt Text_3.txt 
or elegance,0.217675 Text_1.txt Text_2.txt 
or from,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
or gambling to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
or heard,0.217675 Text_1.txt Text_2.txt Text_4.txt 
or more,0.217675 Text_1.txt 
or prevent,0.217675 Text_1.txt 
or something,0.217675 Text_1.txt Text_5.txt 
or stroke,0.217675 Text_1.txt 
or those,0.217675 Text_1.txt 
orange fruits,0.217675 Text_1.txt 
orange vegetables,0.217675 Text_1.txt 
oranges and,0.217675 Text_1.txt 
oranges lemons limes,0.217675 Text_1.txt 
order to give,0.217675 Text_1.txt 
other aggressive,0.217675 Text_1.txt 
other long term,0.217675 Text_1.txt 
other parents,0.217675 Text_1.txt Text_3.txt 
others have not,0.217675 Text_1.txt 
our houses our,0.217675 Text_1.txt Text_2.txt 
out,0.653026 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
outline,0.217675 Text_1.txt Text_2.txt 
over kids minds,0.217675 Text_1.txt Text_2.txt Text_3.txt 
over the warmer,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
overuse,0.217675 Text_1.txt Text_2.txt Text_3.txt 
own pet cats,0.217675 Text_1.txt Text_2.txt 
owned dogs some,0.217675 Text_1.txt Text_2.txt 
owners are,0.217675 Text_1.txt Text_2.txt 
owners have,0.217675 Text_1.txt Text_2.txt 
owning a dog,0.43535 Text_1.txt Text_2.txt 
packed with different,0.217675 Text_1.txt 
pants another asked,0.217675 Text_1.txt Text_2.txt Text_5.txt 
paper published in,0.217675 Text_1.txt Text_2.txt 
parent asks,0.217675 Text_1.txt Text_2.txt Text_3.txt 
parents have,0.217675 Text_1.txt Text_2.txt Text_3.txt 
parents taking,0.217675 Text_1.txt Text_2.txt Text_3.txt 
parents to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
part of,0.217675 Text_1.txt 
participants found that,0.217675 Text_1.txt 
partnered,0.217675 Text_1.txt Text_2.txt Text_3.txt 
past,0.653026 Text_1.txt Text_3.txt Text_4.txt 
past warnings about,0.217675 Text_1.txt Text_3.txt 
pears and,0.217675 Text_1.txt 
pears soy and,0.217675 Text_1.txt 
peas and citrus,0.217675 Text_1.txt 
peas were linked,0.217675 Text_1.txt 
people have,0.217675 Text_1.txt Text_2.txt Text_3.txt 
people still,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
people watching,0.217675 Text_1.txt Text_3.txt 
people with,0.217675 Text_1.txt 
per cent of,0.217675 Text_1.txt Text_2.txt Text_3.txt 
per day Blood,0.217675 Text_1.txt 
per day of,0.217675 Text_1.txt 
percent for,0.217675 Text_1.txt 
percent less,0.217675 Text_1.txt 
percent reduced,0.43535 Text_1.txt 
period but why,0.217675 Text_1.txt Text_2.txt 
period were more,0.217675 Text_1.txt 
person,0.653026 Text_1.txt Text_2.txt Text_3.txt 
person standing Teachers,0.217675 Text_1.txt Text_2.txt Text_3.txt 
pet cats The,0.217675 Text_1.txt Text_2.txt 
petitions,0.217675 Text_1.txt Text_2.txt Text_3.txt 
pets Moreover,0.217675 Text_1.txt Text_2.txt 
pets is,0.217675 Text_1.txt Text_2.txt 
phones to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
physical activity,0.217675 Text_1.txt Text_2.txt 
physical health as,0.217675 Text_1.txt Text_2.txt 
physically healthier,0.217675 Text_1.txt Text_2.txt 
pigments that give,0.217675 Text_1.txt 
places,0.217675 Text_1.txt Text_3.txt Text_4.txt 
plans to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
plant chemicals,0.217675 Text_1.txt 
play,0.870701 Text_1.txt Text_2.txt Text_3.txt 
play The,0.217675 Text_1.txt Text_2.txt Text_3.txt 
play and available,0.217675 Text_1.txt Text_3.txt 
players purchase merchandise,0.217675 Text_1.txt Text_2.txt Text_3.txt 
playing Randy,0.217675 Text_1.txt Text_3.txt 
please everybody I,0.217675 Text_1.txt Text_3.txt Text_4.txt Text_5.txt 
plummeted,0.217675 Text_1.txt Text_2.txt Text_3.txt 
point,0.870701 Text_1.txt Text_3.txt 
popular battle royale,0.217675 Text_1.txt Text_2.txt Text_3.txt 
positive effect upon,0.217675 Text_1.txt 
post,0.217675 Text_1.txt Text_2.txt Text_3.txt 
potatoes Choose other,0.217675 Text_1.txt 
potentially,0.217675 Text_1.txt 
premature,0.217675 Text_1.txt Text_2.txt 
premenopausal women from,0.217675 Text_1.txt 
pressure Cancer Numerous,0.217675 Text_1.txt 
pressure even more,0.217675 Text_1.txt 
pressure reading,0.217675 Text_1.txt 
pressure who,0.217675 Text_1.txt 
prevent blood sugar,0.217675 Text_1.txt 
prevents,0.217675 Text_1.txt 
probably also,0.217675 Text_1.txt 
problem,0.217675 Text_1.txt Text_2.txt Text_3.txt 
problems for kids,0.217675 Text_1.txt Text_2.txt Text_3.txt 
produce aisle,0.217675 Text_1.txt 
produce into,0.217675 Text_1.txt 
products and,0.43535 Text_1.txt 
products especially,0.217675 Text_1.txt 
progress in,0.217675 Text_1.txt Text_2.txt Text_3.txt 
prominent such lifestyle,0.217675 Text_1.txt Text_2.txt 
proper feeding,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
prostate cancer others,0.217675 Text_1.txt 
protect against certain,0.217675 Text_1.txt 
protect men against,0.217675 Text_1.txt 
protection against,0.217675 Text_1.txt 
protection was,0.217675 Text_1.txt 
protective against cancer,0.217675 Text_1.txt 
protects against,0.217675 Text_1.txt 
prove NASA,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
psychiatrist,0.217675 Text_1.txt Text_2.txt Text_3.txt 
publication to,0.217675 Text_1.txt Text_3.txt Text_4.txt 
pull,0.43535 Text_1.txt Text_3.txt Text_4.txt 
purchase merchandise,0.217675 Text_1.txt Text_2.txt Text_3.txt 
put,0.43535 Text_1.txt Text_2.txt Text_4.txt 
putting,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
question on,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
quirky looking species,0.217675 Text_1.txt Text_2.txt 
raising,0.217675 Text_1.txt Text_2.txt Text_3.txt 
range of,0.217675 Text_1.txt Text_2.txt Text_3.txt 
re working,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_5.txt 
reading by,0.217675 Text_1.txt 
ready to,0.217675 Text_1.txt 
really,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
reason for,0.217675 Text_1.txt Text_2.txt Text_3.txt 
recent afternoon,0.217675 Text_1.txt Text_2.txt Text_3.txt 
recent studies,0.217675 Text_1.txt Text_2.txt 
recently partnered,0.217675 Text_1.txt Text_2.txt Text_3.txt 
receptor negative,0.217675 Text_1.txt 
recipes that include,0.217675 Text_1.txt 
recommends,0.217675 Text_1.txt Text_2.txt Text_3.txt 
red fish More,0.217675 Text_1.txt Text_3.txt Text_4.txt 
red hue,0.217675 Text_1.txt 
reduce the occurrence,0.217675 Text_1.txt 
reduced risk After,0.217675 Text_1.txt 
reduced their systolic,0.217675 Text_1.txt 
reduces a,0.217675 Text_1.txt Text_2.txt 
reduction in risk,0.217675 Text_1.txt 
reel such,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
reflective,0.217675 Text_1.txt Text_2.txt Text_3.txt 
registered to,0.217675 Text_1.txt Text_2.txt Text_3.txt 
regulators released,0.217675 Text_1.txt Text_2.txt Text_3.txt 
rehab This game,0.217675 Text_1.txt Text_2.txt Text_3.txt 
relationship,0.43535 Text_1.txt Text_2.txt 
released in,0.217675 Text_1.txt Text_2.txt Text_3.txt 
reliable information than,0.217675 Text_1.txt 
rely,0.217675 Text_1.txt 
render NASA,0.217675 Text_1.txt Text_2.txt Text_5.txt 
replaced with,0.217675 Text_1.txt 
reported,0.217675 Text_1.txt Text_2.txt 
required,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
research also,0.217675 Text_1.txt 
research is needed,0.217675 Text_1.txt 
research suggests,0.217675 Text_1.txt 
research that,0.217675 Text_1.txt Text_2.txt 
researchers combined findings,0.217675 Text_1.txt 
resources,0.217675 Text_1.txt Text_2.txt Text_3.txt 
results,0.653026 Text_1.txt Text_2.txt Text_4.txt 
reveal,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
revealed what appeared,0.217675 Text_1.txt 
rich diet,0.217675 Text_1.txt 
rich in fruits,0.653026 Text_1.txt 
right into,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
risk,5.00653 Text_1.txt Text_2.txt 
risk among,0.217675 Text_1.txt 
risk of cardiovascular,0.217675 Text_1.txt 
risk of developing,0.217675 Text_1.txt 
risk of eye,0.217675 Text_1.txt 
risk of premature,0.217675 Text_1.txt Text_2.txt 
road,0.217675 Text_1.txt Text_2.txt Text_3.txt 
rocks,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
roller,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
roughly,0.217675 Text_1.txt 
round Dead,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
royale version is,0.217675 Text_1.txt Text_2.txt Text_3.txt 
run,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
running through,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
s,1.30605 Text_1.txt Text_2.txt Text_5.txt 
s mind ever,0.217675 Text_1.txt Text_2.txt Text_5.txt 
s surface,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_5.txt 
s working,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
safe guarding our,0.217675 Text_1.txt Text_2.txt 
said I had,0.217675 Text_1.txt Text_3.txt 
said Marer,0.217675 Text_1.txt Text_2.txt Text_3.txt 
said While the,0.217675 Text_1.txt Text_2.txt Text_3.txt 
said he,0.217675 Text_1.txt Text_3.txt 
said it,0.217675 Text_1.txt Text_2.txt Text_5.txt 
same amount,0.217675 Text_1.txt 
same goes,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
saturated and total,0.217675 Text_1.txt 
scad,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
scammers but it,0.217675 Text_1.txt Text_2.txt Text_3.txt 
scene I,0.217675 Text_1.txt Text_3.txt Text_4.txt 
school,0.43535 Text_1.txt Text_3.txt Text_4.txt 
school of nannygai,0.217675 Text_1.txt Text_4.txt 
schools and,0.217675 Text_1.txt Text_3.txt 
science,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt Text_5.txt 
scratched,0.217675 Text_1.txt Text_3.txt 
screen is,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
search through,0.217675 Text_1.txt Text_2.txt Text_4.txt 
search time Keeping,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
second,0.217675 Text_1.txt Text_2.txt Text_3.txt 
second world war,0.217675 Text_1.txt Text_3.txt 
see it Place,0.217675 Text_1.txt 
seek,0.217675 Text_1.txt Text_2.txt Text_3.txt 
seemed,0.217675 Text_1.txt Text_3.txt Text_4.txt 
seems to,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
sees the,0.217675 Text_1.txt Text_2.txt Text_3.txt 
sent,0.217675 Text_1.txt Text_2.txt Text_3.txt 
separately they found,0.217675 Text_1.txt 
service says two,0.217675 Text_1.txt Text_3.txt 
serving from each,0.217675 Text_1.txt 
servings a,1.08838 Text_1.txt 
servings of fruits,0.43535 Text_1.txt 
servings per day,0.217675 Text_1.txt 
sessions Drifting,0.217675 Text_1.txt Text_4.txt 
seventeen isnt,0.217675 Text_1.txt Text_3.txt 
seventy eight million,0.217675 Text_1.txt Text_2.txt 
seventy three,0.217675 Text_1.txt 
several carotenoids compounds,0.217675 Text_1.txt 
several ready,0.217675 Text_1.txt 
several recent studies,0.217675 Text_1.txt Text_2.txt 
several types,0.217675 Text_1.txt 
shall,0.217675 Text_1.txt Text_2.txt Text_4.txt 
shared a special,0.217675 Text_1.txt Text_2.txt 
sharks want,0.217675 Text_1.txt Text_2.txt Text_3.txt Text_4.txt 
